Name;h;b;t;A;cty;ctz;Iy;Iz;iy;iz;Wy.el;Wz.el;Wy.pl;Wz.pl;It;WT;As
RHS 250x100x8;0.25;0.1;0.008;0.00528;28.3;9.500E+00;3.940E-05;9.090E-06;8.640E-02;4.150E-02;3.150E-04;1.820E-04;4.040E-04;2.090E-04;2.430E-05;3.190E-04;6.790E-01
RHS 250x100x10;0.25;0.1;0.01;0.00649;22;7.000E+00;4.730E-05;1.070E-05;8.540E-02;4.060E-02;3.790E-04;2.140E-04;4.910E-04;2.510E-04;2.910E-05;3.760E-04;6.740E-01
RHS 250x100x12.5;0.25;0.1;0.0125;0.00796;17;5.000E+00;5.620E-05;1.240E-05;8.410E-02;3.960E-02;4.500E-04;2.490E-04;5.920E-04;2.990E-04;3.440E-05;4.380E-04;6.680E-01
RHS 250x100x14.2;0.25;0.1;0.0142;0.00892;14.6;4.040E+00;6.160E-05;1.340E-05;8.310E-02;3.880E-02;4.930E-04;2.690E-04;6.550E-04;3.290E-04;3.750E-05;4.730E-04;6.630E-01
RHS 250x100x16;0.25;0.1;0.016;0.0099;12.6;3.250E+00;6.690E-05;1.430E-05;8.220E-02;3.800E-02;5.350E-04;2.870E-04;7.190E-04;3.580E-04;4.050E-05;5.050E-04;6.590E-01
RHS 250x150x5;0.25;0.15;0.005;0.00387;47;2.700E+01;3.360E-05;1.530E-05;9.310E-02;6.280E-02;2.690E-04;2.040E-04;3.240E-04;2.280E-04;3.280E-05;3.370E-04;7.870E-01
RHS 250x150x6.3;0.25;0.15;0.0063;0.00484;36.7;2.080E+01;4.140E-05;1.870E-05;9.250E-02;6.220E-02;3.310E-04;2.500E-04;4.020E-04;2.830E-04;4.050E-05;4.130E-04;7.840E-01
RHS 250x150x8;0.25;0.15;0.008;0.00608;28.3;1.580E+01;5.110E-05;2.300E-05;9.170E-02;6.150E-02;4.090E-04;3.060E-04;5.010E-04;3.500E-04;5.020E-05;5.060E-04;7.790E-01
RHS 250x150x10;0.25;0.15;0.01;0.00749;22;1.200E+01;6.170E-05;2.760E-05;9.080E-02;6.060E-02;4.940E-04;3.670E-04;6.110E-04;4.260E-04;6.090E-05;6.050E-04;7.740E-01
RHS 250x150x12.5;0.25;0.15;0.0125;0.00921;17;9.000E+00;7.390E-05;3.260E-05;8.960E-02;5.960E-02;5.910E-04;4.350E-04;7.400E-04;5.140E-04;7.330E-05;7.170E-04;7.680E-01
RHS 250x150x14.2;0.25;0.15;0.0142;0.0103;14.6;7.560E+00;8.140E-05;3.580E-05;8.870E-02;5.880E-02;6.510E-04;4.770E-04;8.230E-04;5.700E-04;8.100E-05;7.840E-04;7.630E-01
RHS 250x150x16;0.25;0.15;0.016;0.0115;12.6;6.380E+00;8.880E-05;3.870E-05;8.790E-02;5.800E-02;7.100E-04;5.160E-04;9.060E-04;6.250E-04;8.870E-05;8.490E-04;7.590E-01
RHS 250x150x17.5;0.25;0.15;0.0175;0.0124;11.3;5.570E+00;9.450E-05;4.100E-05;8.710E-02;5.740E-02;7.560E-04;5.460E-04;9.720E-04;6.690E-04;9.460E-05;8.990E-04;7.550E-01
RHS 300x100x5;0.3;0.1;0.005;0.00387;57;1.700E+01;4.150E-05;7.310E-06;1.030E-01;4.340E-02;2.760E-04;1.460E-04;3.540E-04;1.610E-04;2.040E-05;2.620E-04;7.870E-01
RHS 300x100x6.3;0.3;0.1;0.0063;0.00484;44.6;1.290E+01;5.110E-05;8.900E-06;1.030E-01;4.290E-02;3.410E-04;1.780E-04;4.390E-04;1.990E-04;2.500E-05;3.190E-04;7.840E-01
