Name;h;b;t;A;ct;I;i;Wel;Wpl;It;WT;As
SHS 300x17.5;0.3;0.3;0.0175;0.0194;14.1;2.560E-04;1.150E-01;1.710E-03;2.050E-03;4.060E-04;2.490E-03;1.150E+00
SHS 350x8;0.35;0.35;0.008;0.0109;40.8;2.110E-04;1.390E-01;1.210E-03;1.390E-03;3.240E-04;1.790E-03;1.380E+00
SHS 350x10;0.35;0.35;0.01;0.0135;32;2.590E-04;1.390E-01;1.480E-03;1.720E-03;3.990E-04;2.180E-03;1.370E+00
SHS 350x12.5;0.35;0.35;0.0125;0.0167;25;3.150E-04;1.370E-01;1.800E-03;2.110E-03;4.890E-04;2.650E-03;1.370E+00
SHS 350x14.2;0.35;0.35;0.0142;0.0189;21.6;3.520E-04;1.370E-01;2.010E-03;2.360E-03;5.490E-04;2.960E-03;1.360E+00
SHS 350x16;0.35;0.35;0.016;0.0211;18.9;3.890E-04;1.360E-01;2.220E-03;2.630E-03;6.100E-04;3.260E-03;1.360E+00
SHS 350x17.5;0.35;0.35;0.0175;0.0229;17;4.190E-04;1.350E-01;2.400E-03;2.840E-03;6.590E-04;3.510E-03;1.350E+00
SHS 400x8;0.4;0.4;0.008;0.0125;47;3.190E-04;1.600E-01;1.590E-03;1.830E-03;4.870E-04;2.360E-03;1.580E+00
SHS 400x10;0.4;0.4;0.01;0.0155;37;3.910E-04;1.590E-01;1.960E-03;2.260E-03;6.010E-04;2.900E-03;1.570E+00
SHS 400x12.5;0.4;0.4;0.0125;0.0192;29;4.780E-04;1.580E-01;2.390E-03;2.780E-03;7.390E-04;3.530E-03;1.570E+00
SHS 400x14.2;0.4;0.4;0.0142;0.0217;25.2;5.350E-04;1.570E-01;2.680E-03;3.130E-03;8.300E-04;3.940E-03;1.560E+00
SHS 400x16;0.4;0.4;0.016;0.0243;22;5.930E-04;1.560E-01;2.970E-03;3.480E-03;9.240E-04;4.360E-03;1.560E+00
SHS 400x17.5;0.4;0.4;0.0175;0.0264;19.9;6.400E-04;1.560E-01;3.200E-03;3.780E-03;1.000E-03;4.700E-03;1.550E+00
